imo,mmsi,name,flag,type
9580156,725001045,"SPL ATACAMA",CL,"Bulk Carrier"
9673915,725000996,PUQUEN,CL,Tug
9145499,725000950,"MARIA JOSE",CL,"Fishing Vessel"
9655860,725000927,"PELICANO II",CL,Tug
9643116,725000925,MAIHUE,CL,Tug
9643104,725000924,COLICO,CL,Tug
9384382,725000906,RANCO,CL,Tug
9148477,725000890,CORSARIO_I,CL,Trawler
9620889,725000888,"RAM CHORLO",CL,Tug
9620877,725000878,YAMAN,CL,Tug
9604627,725000875,YAGHAN,CL,Passenger
9141560,725000850,"DON MANUEL",CL,Fishing
9559511,725000823,RUPANCO,CL,Tug
9261061,725000818,CORDILLERA,CL,"General Cargo"
9572783,725000802,ELQUI,CL,Tug
9287821,725000795,"DON GONZALO 1",CL,"Oil Products Tanker"
9287819,725000794,"DON PANCHO",CL,"Oil Products Tanker"
9528988,725000785,ENCO,CL,Tug
9579353,725000777,CHUCAO,CL,Tug
9579365,725000776,CARANCA,CL,Tug
7434092,725000755,"SAINT BRANDAN",CL,Cargo
9105815,725000752,"AGUNSA ORCA",CL,Passenger
9570163,725000736,TUNQUEN,CL,Tug
9570151,725000723,PUELO,CL,Tug
9559509,725000715,PUYEHUE,CL,Tug
9453028,725000714,HORCON,CL,Tug
9453016,725000695,LONCURA,CL,Tug
7424023,725000682,"VARUA VAIKAVA",CL,"General Cargo"
9105671,725000669,"PAM PELICANO",CL,Trawler
9434034,725000636,FITZROY,CL,Tug
7028441,725000629,VOR,CL,Cargo
9571454,725000607,FARDELA,CL,Tug
7303140,725000591,"PUERTO WILLIAMS",CL,Fishing
8517669,725000390,"DON PEDRO",CL,Cargo
8212301,725000325,ARAUCANO,CL,Tanker
9308326,725000297,"AGUILA III",CL,"Offshore Supply Ship"
8122684,725000261,"B\F UNZEN",CL,Fishing
8212300,725000230,ARAUCANO,CL,Tanker
9003110,725000205,"B/C ABATE MOLINA",CL,"Fishery Research Vessel"
9702273,722832000,"MSC ANTONELLA",,Cargo
7007514,720939000,"LOYALTY EXPRESS",BO,"General Cargo"
